number;question;answer_1;answer_2;answer_3;answer_4
1;„Mobiler Seefunkdienst“ ist mobiler Funkdienst …;zwischen Küstenfunkstellen und Seefunkstellen bzw. zwischen Seefunkstellen untereinander;zwischen tragbaren Funkstellen an Bord eines Seefahrzeuges;ausschließlich zwischen Seefunkstellen;zwischen Funkstellen, für die keine Zuteilung (Ship Station Licence) notwendig ist
2;Welche Funktion hat das „GMDSS“ (Global Maritime Distress and Safety System)?;Hilfe in Seenotfällen und Sicherung der Schifffahrt durch schnelle und genaue Alarmierung im Seenotfall;Koordinierung der Alarmierung von Seefunkstellen im Seenotfall;Positionsbestimmung des Havaristen durch geostationäre Satelliten;Störungsfreier Funkverkehr im Seenotfall
3;Zu welchem Zweck wurde das Weltweite Seenot- und Sicherheitsfunksystem (GMDSS) eingeführt?;Schnelle und genaue Alarmierung in Not-, Dringlichkeits- und Sicherheitsfällen;Schnelle Alarmierung in Notfällen;Schnelle und genaue Alarmierung in Not- und Dringlichkeitsfällen;Schnelle und genaue Alarmierung in Not- und Sicherheitsfällen
4;Welche Aufgaben hat die Internationale Fernmeldeunion (International Telecommunication Union [ITU])?;Die Internationale Fernmeldeunion (ITU) legt die grundlegenden Regelungen für die internationale Telekommunikation fest;Die Internationale Fernmeldeunion (ITU) legt für alle Nationen der UN, die weltweit Seeschifffahrt betreiben, die Mindeststandards hinsichtlich der Funkausrüstung von Seeschiffen fest;Die Internationale Fernmeldeunion (ITU) führt als internationale Verkehrsbehörde weltweit die Überwachung des Funkverkehrs durch;Die Internationale Fernmeldeunion (ITU) rechnet die Gebühren von weltweiten Seefunkgesprächen ab
5;Was regelt die Vollzugsordnung für den Funkdienst (VO Funk, engl. Radio Regulations [RR])?;Die Vollzugsordnung für den Funkdienst (RR) regelt u. a. die Zuweisung von Frequenzbereichen an die Funkdienste und die Betriebsverfahren im Seefunkdienst;Die Vollzugsordnung für den Funkdienst (RR) regelt die Ausrüstung von Seeschiffen bezüglich der Funkeinrichtung;Die Vollzugsordnung für den Funkdienst (RR) regelt den freien Funkverkehr zwischen den Seefahrt betreibenden Nationen;Die Vollzugsordnung für den Funkdienst (RR) regelt die Benutzung von Radaranlagen auf Seeschiffen auf See und in Häfen
6;Welche Publikationen des Bundesamtes für Seeschifffahrt und Hydrographie (BSH) enthalten speziell für die Sportschifffahrt Informationen zum Seefunk?;Funkdienst für die Klein- und Sportschifffahrt;Nautisches Jahrbuch;Nachrichten für Seefahrer;Mitteilungen für Seefunkstellen und Schiffsfunkstellen
7;Was ist eine „Küstenfunkstelle“?;Ortsfeste Funkstelle des mobilen Seefunkdienstes;Funkstelle an Bord eines Schiffes im Küstenbereich, über die wichtige Informationen für die Seeschifffahrt verbreitet werden;Funkstelle des Rundfunkdienstes zur Übermittlung von Wetternachrichten für die Schifffahrt;Funkstelle an Bord eines Schiffes für den Empfang von Funkgesprächen aus dem Mobilfunknetz
8;Was bedeutet „öffentlicher Funkverkehr“?;Funkverkehr, der der Allgemeinheit zum Austausch von Nachrichten dient;Funkverkehr, der im Gegensatz zum Nichtöffentlichen Funkverkehr unverschlüsselt abgewickelt wird;Funkverkehr, der von jeder Seefunkstelle abgehört werden muss;Funkverkehr, der nicht dem Fernmeldegeheimnis und dem Abhörverbot unterliegt
9;Für die Teilnahme am öffentlichen Funkverkehr ist – im Gegensatz zur Teilnahme am Nicht-öffentlichen Funkverkehr – zusätzlich erforderlich …;Vertrag mit einer Abrechnungsgesellschaft;Besitz eines Seefunkzeugnisses;Zulassung des Funkgeräts;Zuteilung (Ship Station Licence)
10;Wodurch erfährt eine Seefunkstelle von einer Küstenfunkstelle, dass dort Nachrichten für sie vorliegen?;Individuelle Benachrichtigung oder Abhören von Sammelanrufen;Individuelle Benachrichtigung durch die Abrechnungsgesellschaft;Individuelle Benachrichtigung mittels SMS oder E-Mail;Öffentliche Benachrichtigung mittels NAVTEX
11;Was sind die Abrechnungsgrundlagen für ein Seefunkgespräch über eine deutsche Küstenfunkstelle?;Gesprächsdauer und Preis der Verrechnungseinheiten;Gesprächsdauer und Entfernung zur Küstenfunkstelle;Gesprächsdauer und Frequenznutzungsgebühren;Gesprächsdauer und Dringlichkeit des Gesprächs
12;Was ist eine „Sea-Area“ im GMDSS?;Festgelegtes Seegebiet;International festgelegtes Seewarngebiet;Im NAVTEX bestimmtes Seegebiet;Weltweites Raster zum schnellen Auffinden von verunglückten Fahrzeugen
13;Welche Bezeichnungen tragen die Seegebiete, in denen für Schiffe eine bestimmte Funkausrüstung international vorgeschrieben ist?;A1, A2, A3, A4;A, B, C, D;NAVAREAS;Küstengewässer, küstennahe Seegewässer, Hohe See
14;Eine Yacht befindet sich in einem Seegebiet, das von der Sprechfunkreichweite einer UKW-Küstenfunkstelle abgedeckt wird, die ununterbrochen für DSC-Alarmierungen zur Verfügung steht. In welchem Seegebiet befindet sich das Fahrzeug?;Seegebiet A1;Seegebiet A2;Seegebiet A3;Seegebiet A4
15;Welches sind die satellitengestützten Alarmierungssysteme im Weltweiten Seenot- und Sicherheitsfunksystem (GMDSS)?;COSPAS-SARSAT, Inmarsat;Eutelsat, Globalstar;EPIRB, AIS;DSC, COSPAS-SARSAT
16;Was wird als „MSI“ bezeichnet?;Nachricht, die die Sicherheit der Seeschifffahrt betrifft;Rufnummer im Seefunkdienst (Maritime Mobile Service Identity);Mittlere Signalstärke des modulierten Eingangssignals;Landeskennung einer Seefunkstelle
17;"Welche Aussendung wird als „WX"" bezeichnet?";Wetterbericht;Nautische Warnnachricht;Aussendung, die zurückgenommen wurde;Funktelexaussendung im GMDSS
18;"Welche Aussendung wird als „NX"" bezeichnet?";Nautische Warnnachricht;Wetterbericht;Aussendung, die zurückgenommen wurde;Funktelexaussendung im GMDSS
19;Was versteht man unter „AIS“?;Automatisches Schiffsidentifizierungs- und Überwachungssystem, das statische und dynamische Schiffsdaten auf UKW überträgt;Automatische Aussendung der Kennung eines Seeschiffes jede Minute bzw. beim Loslassen der Sprechtaste;Allgemeines Informationssystem für die Seeschifffahrt;Identifizierung eines Schiffes mit Hilfe von Radarpeilungen und deren Weitergabe an die Schifffahrt zur Kollisionsverhütung
20;Was bedeutet „ETA“?;Voraussichtliche Ankunftszeit;Voraussichtliche Abfahrtszeit;Voraussichtliche Gesamtfahrtzeit;Voraussichtliche Restfahrtzeit
