number;question;answer_1;answer_2;answer_3;answer_4
24;Was ist eine „Seefunkstelle“?;Funkstelle des mobilen Seefunkdienstes an Bord eines nicht dauernd verankerten Seefahrzeuges;Typgeprüfte Funkstelle, die kein ATIS-Signal aussendet;Seefunkgerät samt Antenne, das im UKW- bzw. Grenz- und Kurzwellenbereich betrieben wird;Funkstelle, die am GMDSS teilnehmen darf
25;Welches Funkzeugnis ist auf einem mit einer Seefunkanlage ausgerüsteten Sportfahrzeug unter deutscher Flagge für den Schiffsführer vorgeschrieben?;Ein Funkzeugnis, das zum Bedienen der eingebauten Anlage berechtigt, z. B. SRC oder LRC;Ein SRC bis zur Grenze der Hoheitsgewässer, darüber hinaus ein LRC;Keines, es genügt, wenn eine Person an Bord ist, die die Funkanlage bedienen darf;Für die Bedienung einer Grenz-/Kurzwellenanlage ist das LRC vorgeschrieben, für die Bedienung einer UKW-Anlage zusätzlich das SRC
26;Welche Funkanlagen darf der Inhaber eines Beschränkt Gültigen Funkbetriebszeugnisses (Short Range Certificate [SRC]) bedienen?;UKW-Funkanlagen im Seefunkdienst auf nicht funkausrüstungspflichtigen Fahrzeugen und auf Traditionsschiffen;UKW-Funkanlagen für See- und Luftfunkstellen;UKW-Funkanlagen auf Sportbooten im Seefunkdienst und Binnenschifffahrtsfunk;UKW-Funkanlagen auf funkausrüstungspflichtigen und nicht funkausrüstungs- pflichtigen Seeschiffen
27;Welche Sportboote müssen mit einer UKW-Seefunkanlage ausgerüstet sein?;Gewerbsmäßig genutzte Sportboote mit einer Länge über alles von 12 m und mehr;Sportboote mit einer Länge über alles von 12 m und mehr;Sportboote mit einer Antriebsmaschine von 3,68 kW und mehr;Gewerbsmäßig genutzte Sportboote mit einer Antriebsmaschine von 3,68 kW und mehr
28;Welche rechtlichen Voraussetzungen sind für den Betrieb einer Seefunkstelle auf einem Sportfahrzeug und einem Traditionsschiff zu erfüllen?;Zuteilung (Ship Station Licence), für den Seefunkdienst zugelassene oder in Verkehr gebrachte Funkgeräte, ausreichendes Seefunkzeugnis des Fahrzeugführers;Zuteilung (Ship Station Licence), ausreichendes Seefunkzeugnis und Sportbootführerschein des Fahrzeugführers;Zuteilung (Ship Station Licence), ausreichendes Seefunkzeugnis einer Person an Bord;Zuteilung (Ship Station Licence), für den Seefunkdienst zugelassene oder in Verkehr gebrachte Funkgeräte, Sportbootführerschein
29;Welche Urkunde und welcher Befähigungsnachweis müssen bei der Überprüfung einer Seefunkstelle auf einem Sportfahrzeug dem Prüfbeamten auf Verlangen vorgelegt werden?;Zuteilung (Ship Station Licence) und Seefunkzeugnis des Fahrzeugführers;Zuteilung (Ship Station Licence) und Sportbootführerschein des Fahrzeugführers;Seefunkzeugnis eines Besatzungsmitgliedes und Internationaler Bootsschein (IBS);Seefunkzeugnis des Fahrzeugführers und Eigentumsnachweis
30;Die Urkunde über die Zuteilung (Ship Station Licence) zum Betreiben einer Seefunkstelle wird in Deutschland ausgestellt durch …;die Bundesnetzagentur (BNetzA), Außenstelle Hamburg;die Bundesnetzagentur (BNetzA), Außenstelle Mülheim an der Ruhr;das Bundesamt für Seeschifffahrt und Hydrographie (BSH), Rostock;das Wasserstraßen- und Schifffahrtsamt, Hamburg
31;Welche Urkunde für die Seefunkstelle muss auf einem Sportfahrzeug mitgeführt werden?;Zuteilungsurkunde (Ship Station Licence) (im Original);Zuteilungsurkunde (Ship Station Licence) (in Kopie);Gerätezulassungsurkunde (im Original);Gerätezulassungsurkunde (in Kopie)
32;Was und zu welchem Zweck muss ein Schiffseigner bei Änderung des Schiffsnamens in Bezug auf seine Seefunkstelle veranlassen?;Namensänderung der Bundesnetzagentur schriftlich mitteilen zwecks Änderung seiner Zuteilungsurkunde (Ship Station Licence);Namensänderung dem Bundesamt für Seeschifffahrt und Hydrographie schriftlich mitteilen zwecks Änderung der Gerätezulassungsurkunde);Namensänderung dem Wasser- und Schifffahrtsamt, Hamburg schriftlich mitteilen zwecks Änderung des Kennzeichenausweises;Namensänderung der Zentralen Verwaltungsstelle schriftlich mitteilen zwecks Änderung des Kennzeichenausweises
33;Was muss ein Schiffseigner beim Austausch der UKW-Sprechfunkanlage gegen eine UKW-GMDSS-Funkanlage veranlassen?;Schriftliche Mitteilung über die Umrüstung an die Bundesnetzagentur;Schriftliche Mitteilung über die Umrüstung an das Bundesamt für Seeschifffahrt und Hydrographie;Schriftliche Mitteilung über die Umrüstung an das Amtsgericht;Schriftliche Mitteilung über die Umrüstung an die Zentrale Verwaltungsstelle
34;Was ist beim Kauf eines UKW-Sprechfunkgeräts für den Seefunkdienst oder eines UKW-GMDSS-Funkgeräts zu beachten?;Das Funkgerät muss für den Seefunkdienst zugelassen oder in Verkehr gebracht worden sein;Das Funkgerät muss funktionsfähig und TÜV-geprüft sein;Das Funkgerät muss eine NAVTEX-Schnittstelle aufweisen oder Wetterberichte empfangen können;Das Funkgerät muss von der Dienststelle Schiffssicherheit der Berufsgenossenschaft Verkehrswirtschaft Post-Logistik Telekommunikation (BG Verkehr) für Sportboote zugelassen sein
35;Wer stellt in Deutschland Funksicherheitszeugnisse für Sportboote aus, die gewerbsmäßig genutzt werden?;Dienststelle Schiffssicherheit der Berufsgenossenschaft Verkehrswirtschaft Post-Logistik Telekommunikation (BG Verkehr);Bundesamt für Seeschifffahrt und Hydrographie (BSH);Wasserstraßen- und Schifffahrtsverwaltung (WSV);Bundesnetzagentur (BNetzA)
