number;question;answer_1;answer_2;answer_3;answer_4
53;Was bedeutet „DSC“ im mobilen Seefunkdienst?;Digitaler Selektivruf;Funküberwachung auf zwei Funkkanälen (Dual Watch);Gegensprechen auf zwei Frequenzen im Gegensatz zu Wechselsprechen auf einer Frequenz;Digitales System für die Telekommunikation an Bord
54;Was ist ein „Digitaler Selektivruf“?;Digitale Aussendung, die bei der gerufenen Funkstelle ein optisches und/oder akustisches Signal auslöst;Aussendung eines digitalen Anrufs auf Kanal 16;Funkaussendung an eine ausgewählte Funkstelle;Funkverkehr im GMDSS auf den dafür vorgesehenen Kanälen
55;Welches technische Verfahren im GMDSS ermöglicht einer Seefunkstelle die Verkehrsaufnahme in den Richtungen Schiff-Küstenfunkstelle und Schiff–Schiff?;DSC;NAVTEX;COSPAS-SARSAT;SMS
56;Welcher Unterschied besteht in der Reichweite bei analoger (Sprechfunk) und bei digitaler Übertragung (DSC) im UKW-Seefunkbereich?;Bei digitaler Übertragung deutlich größere Reichweite im Vergleich zur analogen Übertragung;Bei digitaler Übertragung besteht kein Unterschied im Vergleich zur analogen Übertragung;Bei digitaler Übertragung vierfache Reichweite im Vergleich zur analogen Übertragung;Bei digitaler Übertragung kürzere Reichweite im Vergleich zur analogen Übertragung
57;Welcher UKW-Kanal wird im Weltweiten Seenot- und Sicherheitsfunksystem (GMDSS) für die digitale Ankündigung einer Dringlichkeitsmeldung benutzt?;Kanal 70;Kanal 16;Kanal 10;Kanal 06
58;Auf welchem UKW-Kanal erfolgt die Alarmierung mittels DSC?;Kanal 70;Kanal 16;Kanal 06;Kanal 10
59;Wie wird eine mit DSC-Einrichtungen ausgerüstete Seefunkstelle gekennzeichnet?;Schiffsname, Rufzeichen, Rufnummer des mobilen Seefunkdienstes (MMSI);Rufnummer des mobilen Seefunkdienstes (MMSI), Schiffsname;Schiffsname, Heimathafen, Rufzeichen;Registriernummer des Schiffszertifikates, Rufzeichen
60;Der mit einem DSC-Gerät aufgenommene Notarlarm wird…;automatisch gespeichert;manuell gespeichert;Gespeichert, wenn im Speicher noch genügend Platz ist;nicht gespeichert, sondern ausgedruckt.
61;Was wird als „Maritime Mobile Service Identity (MMSI)“ bezeichnet?;Rufnummer im Seefunkdienst;Maritimes Informationssystem;Landeskennung einer Seefunkstelle (z.B. 211);Aussendung, die die Sicherheit der Schifffahrt betrifft
62;Wie lauten die Maritime Identification Digits (MID) für die Bundesrepublik Deutschland?;211 und 218;211 und 219;218 und 224;218 und 226
63;Welche Urkunde enthält die eigene Seefunkstellen-Rufnummer (MMSI)?;Zuteilungsurkunde (Ship Station Licence);Gerätezulassungsurkunde;Internationaler Bootsschein;Schiffszertifikat
64;Wie setzt sich die Seefunkstellen-Rufnummer (MMSI) zusammen?;Neun Ziffern, wobei die ersten drei Ziffern die Seefunkkennzahl (MID) enthalten;Drei Buchstaben und sechs Ziffern;Sieben Ziffern, wobei die ersten beiden Ziffern Nullen sein müssen;Neun Ziffern, wobei die erste Ziffer eine Null ist
65;Wie setzt sich die Küstenfunkstellen-Rufnummer (MMSI) zusammen?;Neun Ziffern, die ersten beiden Ziffern Nullen, die nächsten drei Ziffern enthalten die Seefunkkennzahl (MID);Neun Ziffern, die ersten drei Ziffern enthalten die Seefunkkennzahl (MID);Geografischer Ortsname der Küstenfunkstelle, gefolgt von drei Ziffern, die die Seefunkkennzahl (MID) bilden;Internationale Telefon-Vorwahlnummer des Landes, in dem sich die Küstenfunkstelle befindet, gefolgt von fünf besonders festgelegten Ziffern
66;Welche Art von Funkstelle des Seefunkdienstes kennzeichnet die Ziffernfolge 002111240?;Deutsche Küstenfunkstelle;Deutsche Seefunkstelle;Deutsches SAR-Fahrzeug;Deutsche EPIRB
67;Woran ist die Nationalität der Seefunkstelle in der MMSI erkennbar?;Seefunkkennzahl (MID);Länderkennung, bestehend aus drei Buchstaben;Letzte drei Ziffern der MMSI;Mittlere drei Ziffern der MMSI
68;Durch die Verbindung mit welchem Gerät ist gewährleistet, dass bei einem DSC-Notalarm die aktuelle Position automatisch mit ausgesendet wird?;GPS-Empfänger;NAVTEX-Empfänger;Radargerät;UKW-Wachempfänger
